263022;;Жар-Пицца Курник 130г
157055;;Сельдь по-русски, цена за кг
127291;;Салат Крабовый 150г, цена за шт
117261;;Торт печеночный Томичка, цена за кг
102674;;Папоротник ИП Салиджанов 150г пл/уп
153921;;Салат 5 Авеню, цена за кг
192814;;Домашний ресторан Салат Столичный 150г, цена за шт
214913;;Запеканка творожная с вишней, цена за кг
173977;;Домашний ресторан Салат Африка, цена за кг
197805;;Зеленый Коктейль Сильный иммунитет 0,3л , цена за шт.
79432;;Окорочка жареные, цена за кг
102438;;Жар-Пицца Пирог с карт/печенью 100г
257441;;Морская капуста с авокадо и сладким перцем Мистер Хе, цена за кг
151803;;Шашлык из курицы, цена за кг
106508;;Салат Северный остров, цена за кг
171887;;Домашний ресторан Салат Юбилейный 150г, цена за шт
139920;;Патэ Карлиони, цена за кг
98651;;Грибы соленые, цена за кг
210442;;Салат Молодость с проростками овса и рукколой, 0,2кг, цена за шт.
139911;;Пирожки жареные с курицей и грибами 75г, цена за штуку
93249;;Бутерброд ФУРШЕТ с языком (огурец, лук, салат, майонез) 150г/24
107920;;Говядина с черносливом, цена за кг
159107;;Ролл Дальневосточный (угорь копч., кунжут, огурец), кг
147064;;Перец фаршированный мясом, цена за кг
256815;;Хе из курицы Мистер Хе, цена за кг
139893;;Баклажаны ИП Салиджанов, цена за кг
192706;;Жар-Пицца Пирог с рисом/мясом 100г
214965;;Салат Атлантида, цена за кг
102429;;Икра овощная, цена за кг
205116;;Ролл с огурцом и перцем (огурец, перец болг., васаби), кг
195117;;Жюльен с курицей и овощами 300г, цена за шт
146028;;ЛАМА Картофель в укропе, цена за кг
106532;;Соевый соус Мистер Хе 30г, цена за шт
106835;;Холодец по-домашнему, цена за кг
148107;;Баклажаны с мясом Мистер Хе, цена за кг
178541;;Слойка с мясом и рисом 80г (франц.выпечка)
208820;;ЕДОК Салат с печенью 150г
205118;;Хе из языка ИП Салиджанов 150г пл/уп
257556;;Картофельное пюре, цена за кг
164341;;Баклажаны Берендей, цена за кг
192811;;Ролл каппа маки (огурец, васаби), кг
29914;;Салат Сухоревский, цена за кг
148109;;Заливное из курицы 180г
169854;;Суши Набор 7 (Якудза,Хаси,Шахматы) 560г Империя суши
172255;;ФУД Заливное из говядины 180г, цена за штуку
120776;;Баклажаны фаршированные, цена за кг
252727;;ЛАМА Рис с овощами цена за 1кг
106831;;Хе из языка ИП Салиджанов 150г пл/уп
178531;;Суши Унаги маки (рол с копченым угрем) 95г, цена за порцию
106291;;Салат Ташкент, цена за кг
252717;;Пигоди 2шт*150г Мистер Хе, цена за упаковку
